Rk,Player,Nation,Pos,Squad,League,Age,MP,Min,GoalsPer90,GoalsPerShoot,PKGoals,PKAttempted,PKGoals%,Goals,OwnGoals,Assist,Pass,PassCompleted,PassComp%,PassGround,PassLow,PassHigh,PassDistanceYard,Cross,CrossCompleted,CrossComp%,TackleWon,TackleComm,TackleLost,TackleWon%,SuccDribble,Dribble,DribbleComp%,YellowCards,RedCards,FoulsComm,FoulsDrawn,AerWon,AerLost,AerWon%
931,Fred,BRA,MF,Manchester Utd,Premier League,29,28,2028,0.18,0.27,0,0,0.0,4,1,4,1321,1123,85.01,1030,149,141,21080,2,1,50.0,38,66,28,57.58,17,33,51.52,5,0,43,35,16,14,53.38
932,Ryan Fredericks,ENG,DF,West Ham,Premier League,29,7,307,0.0,0.0,0,0,0.0,0,0,0,147,114,77.55,86,34,27,1722,8,1,12.5,2,4,2,50.0,0,1,0.0,1,0,3,1,6,1,85.85
933,Morten Frendrup,DEN,DFMF,Genoa,Serie A,21,10,695,0.0,0.0,0,0,0.0,0,0,0,357,251,70.31,178,84,95,4618,6,1,16.67,20,32,12,62.5,4,5,80.0,1,0,15,4,12,17,41.38
934,Remo Freuler,SUI,MF,Atalanta,Serie A,30,29,2369,0.04,0.05,0,0,0.0,1,1,3,1688,1449,85.84,1331,160,197,25858,22,6,27.27,43,64,21,67.19,26,44,59.09,10,0,46,34,27,23,54.21
935,Marvin Friedrich,GER,DF,Union Berlin,Bundesliga,26,13,1169,0.0,0.0,0,0,0.0,0,1,0,623,471,75.6,387,72,164,10735,4,1,25.0,12,20,8,60.0,4,6,66.67,4,1,11,2,45,33,57.67
936,Marvin Friedrich,GER,DF,M'Gladbach,Bundesliga,26,8,600,0.0,0.0,0,0,0.0,0,0,0,471,419,88.96,379,27,65,9097,0,0,0.0,11,18,7,61.11,0,1,0.0,1,0,6,2,25,13,65.78
937,Jeremie Frimpong,NED,DF,Leverkusen,Bundesliga,21,25,2052,0.04,0.09,0,0,0.0,1,1,6,1208,985,81.54,771,274,165,16038,52,10,19.23,21,34,13,61.76,44,77,57.14,6,0,19,52,23,27,46.12
938,Christian Früchtl,GER,GK,Bayern Munich,Bundesliga,22,1,10,0.0,0.0,0,0,0.0,0,0,0,3,3,100.0,3,0,0,67,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
939,Jorge de Frutos,ESP,MFFW,Levante,La Liga,25,25,1760,0.2,0.09,0,0,0.0,4,0,7,510,345,67.65,300,109,101,6029,60,11,18.33,24,37,13,64.86,31,76,40.79,4,0,38,25,8,28,22.28
940,Leo Fuhr Hjelde,NOR,DF,Leeds United,Premier League,18,2,150,0.0,0.0,0,0,0.0,0,0,0,111,84,75.68,51,38,22,1317,3,0,0.0,2,4,2,50.0,0,1,0.0,0,0,1,1,4,2,66.57
941,Chris Führich,GER,MFFW,Stuttgart,Bundesliga,24,25,1714,0.16,0.1,0,0,0.0,3,0,2,697,555,79.63,488,90,120,9171,35,8,22.86,23,33,10,69.7,38,58,65.52,3,0,11,23,10,18,35.81
942,Angelo Fulgini,FRA,MFFW,Angers,Ligue 1,25,36,2929,0.15,0.09,0,0,0.0,5,0,4,1401,1144,81.66,1095,132,175,18532,38,7,18.42,21,30,9,70.0,53,113,46.9,6,0,41,92,34,45,43.21
943,Marius Funk,GER,GK,Greuther Fürth,Bundesliga,26,8,720,0.0,0.0,0,0,0.0,0,0,0,362,226,62.43,155,12,195,7790,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,1,0,0,0.0
944,Stephan Fürstner,GER,MF,Mainz 05,Bundesliga,34,1,5,0.0,0.0,0,0,0.0,0,0,0,5,1,20.0,3,1,1,12,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
945,Matteo Gabbia,ITA,DF,Milan,Serie A,22,8,537,0.0,0.0,0,0,0.0,0,0,0,418,368,88.04,329,16,73,8581,0,0,0.0,4,5,1,80.0,0,0,0.0,3,0,8,4,20,10,66.6
946,Manolo Gabbiadini,ITA,FWMF,Sampdoria,Serie A,30,18,1140,0.47,0.14,0,0,0.0,6,0,2,340,225,66.18,190,80,70,3552,11,4,36.36,4,10,6,40.0,6,12,50.0,3,0,13,16,20,47,29.79
947,Mijat Ga?inovi?,SRB,FWDF,Hoffenheim,Bundesliga,27,4,110,0.0,0.0,0,0,0.0,0,0,0,46,39,84.78,28,12,6,660,0,0,0.0,2,3,1,66.67,4,4,100.0,1,0,4,1,4,1,80.05
948,Gianluca Gaetano,ITA,MF,Napoli,Serie A,22,2,20,0.0,0.0,0,0,0.0,0,0,0,11,9,81.82,9,2,0,141,0,0,0.0,1,2,1,50.0,0,0,0.0,0,0,1,1,1,3,25.0
949,Luca Gagliano,ITA,MFDF,Cagliari,Serie A,21,2,13,0.0,0.0,0,0,0.0,0,0,0,5,4,80.0,3,1,1,74,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,4,0.0
950,Roberto Gagliardini,ITA,MF,Inter,Serie A,28,18,649,0.28,0.25,0,0,0.0,2,0,2,349,297,85.1,270,37,42,4581,5,0,0.0,7,9,2,77.78,4,9,44.44,2,0,23,17,17,17,50.0
951,Riccardo Gagliolo,SWE,DF,Salernitana,Serie A,32,17,1138,0.0,0.0,0,0,0.0,0,0,1,491,384,78.21,302,64,124,8325,3,0,0.0,13,28,15,46.43,4,7,57.14,2,0,10,14,15,13,53.6
952,Javi Galán,ESP,DF,Celta Vigo,La Liga,27,37,3298,0.0,0.0,0,0,0.0,0,0,3,2192,1717,78.33,1299,439,454,30839,122,22,18.03,77,127,50,60.63,62,94,65.96,8,0,68,81,30,48,38.5
953,Iñigo Ruiz de Galarreta,ESP,MF,Mallorca,La Liga,28,22,1378,0.0,0.0,0,0,0.0,0,0,0,759,612,80.63,523,86,150,11792,7,1,14.29,27,47,20,57.45,18,28,64.29,4,0,35,41,17,22,43.53
954,Nicolas Galazzi,ITA,DF,Venezia,Serie A,21,1,16,0.0,0.0,0,0,0.0,0,0,0,8,5,62.5,3,4,1,78,1,0,0.0,1,1,0,100.0,0,0,0.0,0,0,2,0,0,1,0.0
955,Pablo Galdames Millán,CHI,MF,Genoa,Serie A,25,19,1028,0.0,0.0,0,0,0.0,0,0,0,448,327,72.99,263,60,125,6530,16,2,12.5,18,30,12,60.0,7,18,38.89,2,0,23,13,8,18,30.7
956,Thiago Galhardo,BRA,FWMF,Celta Vigo,La Liga,32,31,1148,0.16,0.06,0,0,0.0,2,0,2,280,189,67.5,163,56,61,2536,10,1,10.0,6,10,4,60.0,11,23,47.83,5,0,26,14,49,82,37.4
957,Conor Gallagher,ENG,MF,Crystal Palace,Premier League,22,34,2845,0.25,0.15,0,0,0.0,8,0,3,1166,891,76.42,758,142,268,16239,67,9,13.43,44,69,25,63.77,45,71,63.38,10,0,84,72,35,40,46.64
958,Gauthier Gallon,FRA,GK,Troyes,Ligue 1,29,31,2790,0.0,0.0,0,0,0.0,0,0,0,1060,744,70.19,487,43,533,22584,0,0,0.0,0,0,0,0.0,1,1,100.0,2,0,0,8,0,0,0.0
959,Cristian Gamboa,CRC,DF,Bochum,Bundesliga,32,23,1722,0.05,0.2,0,0,0.0,1,0,0,959,691,72.05,424,152,384,15584,27,10,37.04,45,63,18,71.43,13,17,76.47,6,0,22,11,26,17,60.44
960,Kévin Gameiro,FRA,FW,Strasbourg,Ligue 1,35,35,2385,0.42,0.15,1,3,33.33,11,0,3,800,639,79.88,631,103,65,8734,23,3,13.04,13,16,3,81.25,19,37,51.35,0,0,17,21,12,63,15.9
961,Idrissa Gana Gueye,SEN,MF,Paris S-G,Ligue 1,32,26,1641,0.16,0.13,0,0,0.0,3,0,1,1389,1296,93.3,1219,93,75,21653,4,1,25.0,41,61,20,67.21,18,25,72.0,4,0,45,16,10,16,38.46
962,Ignatius Ganago,CMR,FW,Lens,Ligue 1,23,28,1024,0.44,0.16,0,0,0.0,5,0,1,205,149,72.68,158,22,24,2035,4,0,0.0,0,2,2,0.0,11,21,52.38,2,0,9,12,17,34,33.33
963,Silvère Ganvoula M'Boussy,CGO,FW,Bochum,Bundesliga,25,9,153,0.0,0.0,0,0,0.0,0,0,0,60,34,56.67,24,14,22,612,0,0,0.0,0,0,0,0.0,2,3,66.67,0,0,2,1,20,6,76.97
964,Álvaro García,ESP,FW,Rayo Vallecano,La Liga,29,36,2998,0.21,0.1,0,0,0.0,7,0,4,1036,646,62.36,606,176,254,11322,170,26,15.29,36,52,16,69.23,20,45,44.44,6,0,33,32,8,28,22.22
965,Dani García,ESP,MF,Athletic Club,La Liga,32,32,2177,0.0,0.0,0,0,0.0,0,0,0,1041,803,77.14,651,135,254,16059,1,0,0.0,26,38,12,68.42,5,8,62.5,9,0,51,29,42,39,51.94
966,David García,ESP,DF,Osasuna,La Liga,28,35,3105,0.12,0.13,0,0,0.0,4,0,0,1421,1176,82.76,925,135,366,27262,2,0,0.0,23,35,12,65.71,3,3,100.0,8,0,62,23,159,49,76.45
967,Eric García,ESP,DF,Barcelona,La Liga,21,26,2039,0.0,0.0,0,0,0.0,0,0,0,1666,1550,93.04,1446,88,132,33414,0,0,0.0,16,29,13,55.17,2,2,100.0,5,1,36,8,32,25,56.18
968,Francisco Garcia,ESP,DF,Rayo Vallecano,La Liga,22,34,3025,0.03,0.04,0,0,0.0,1,0,0,1693,1334,78.8,931,420,343,24296,99,22,22.22,33,57,24,57.89,13,33,39.39,4,0,28,18,30,44,40.45
969,Joan García,ESP,GK,Espanyol,La Liga,21,2,108,0.0,0.0,0,0,0.0,0,0,0,33,25,75.76,19,2,12,604,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
970,Manu García,ESP,MF,Alavés,La Liga,24,24,1077,0.0,0.0,0,0,0.0,0,0,1,582,443,76.12,352,75,156,9418,19,5,26.32,13,16,3,81.25,23,40,57.5,3,0,30,42,6,8,42.74
971,Raúl García,ESP,FW,Athletic Club,La Liga,35,35,1802,0.3,0.14,0,1,0.0,6,0,2,594,372,62.63,276,151,168,6432,19,3,15.79,18,24,6,75.0,8,14,57.14,3,0,50,35,78,85,47.85
972,Rubén García,ESP,FWMF,Osasuna,La Liga,28,37,2375,0.04,0.03,0,2,0.0,1,0,6,1246,892,71.59,708,191,348,16474,97,19,19.59,24,44,20,54.55,24,41,58.54,1,0,44,34,35,53,39.82
973,Saúl García,ESP,FW,Alavés,La Liga,27,1,4,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
974,Unai García,ESP,DF,Osasuna,La Liga,30,18,1408,0.0,0.0,0,0,0.0,0,0,0,554,415,74.91,312,51,190,11081,3,0,0.0,14,29,15,48.28,2,4,50.0,5,0,14,7,39,37,51.33
975,Alejandro Garnacho,ESP,FW,Manchester Utd,Premier League,17,2,13,0.0,0.0,0,0,0.0,0,0,0,3,3,100.0,3,0,0,25,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,1,1,0,0,0.0
976,Mario Gaspar,ESP,DF,Villarreal,La Liga,31,12,623,0.0,0.0,0,0,0.0,0,0,0,368,298,80.98,234,64,70,5550,8,3,37.5,10,12,2,83.33,3,5,60.0,1,0,9,2,14,8,63.64
977,Djeidi Gassama,FRA,FW,Paris S-G,Ligue 1,18,1,2,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
978,Johan Gastien,FRA,MF,Clermont Foot,Ligue 1,34,32,2746,0.0,0.0,0,0,0.0,0,1,1,2602,2150,82.63,1842,254,506,49163,26,5,19.23,44,59,15,74.58,15,30,50.0,8,2,33,39,21,30,41.32
979,Dwight Gayle,ENG,FW,Newcastle Utd,Premier League,31,8,38,0.0,0.0,0,0,0.0,0,0,0,13,11,84.62,10,3,0,108,0,0,0.0,0,1,1,0.0,0,1,0.0,1,0,2,2,1,3,25.0
980,Jean-Philippe Gbamin,CIV,MF,Everton,Premier League,26,3,67,0.0,0.0,0,0,0.0,0,0,0,21,16,76.19,15,3,3,224,0,0,0.0,1,2,1,50.0,1,2,50.0,0,0,0,1,1,0,100.0
981,David de Gea,ESP,GK,Manchester Utd,Premier League,31,38,3420,0.0,0.0,0,0,0.0,0,0,0,912,646,70.83,486,33,391,18312,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0
982,Linus Gechter,GER,DF,Hertha BSC,Bundesliga,18,13,716,0.13,0.2,0,0,0.0,1,0,0,379,302,79.68,264,28,87,6412,2,1,50.0,6,14,8,42.86,0,1,0.0,0,0,6,0,12,14,46.15
983,Dennis Geiger,GER,MF,Hoffenheim,Bundesliga,23,20,1377,0.13,0.13,0,0,0.0,2,0,2,783,649,82.89,575,71,137,13089,12,2,16.67,23,37,14,62.16,4,7,57.14,6,0,48,23,3,14,17.86
984,Joe Gelhardt,ENG,FWMF,Leeds United,Premier League,20,20,746,0.24,0.09,0,0,0.0,2,0,2,156,105,67.31,96,34,26,1407,5,1,20.0,6,12,6,50.0,14,29,48.28,4,0,21,28,8,31,20.47
985,Luca Gemello,ITA,GK,Torino,Serie A,21,1,90,0.0,0.0,0,0,0.0,0,0,0,34,15,44.12,6,0,28,617,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
986,Yannick Gerhardt,GER,MFDF,Wolfsburg,Bundesliga,28,27,1574,0.06,0.07,0,0,0.0,1,0,3,816,616,75.49,532,129,155,11037,27,4,14.81,30,48,18,62.5,15,22,68.18,2,0,18,24,27,32,45.7
987,Valère Germain,FRA,FW,Montpellier,Ligue 1,32,34,1970,0.18,0.13,0,0,0.0,4,0,3,473,361,76.32,289,122,61,4794,13,1,7.69,21,32,11,65.62,3,8,37.5,3,0,27,29,57,101,36.06
988,Gerson,BRA,MFFW,Marseille,Ligue 1,25,35,2544,0.32,0.2,0,0,0.0,9,0,4,1313,1183,90.1,1087,125,99,19046,28,6,21.43,35,50,15,70.0,26,42,61.9,3,0,52,71,22,24,47.85
989,Willem Geubbels,FRA,FWMF,Nantes,Ligue 1,20,22,544,0.33,0.15,0,0,0.0,2,0,1,142,100,70.42,107,13,22,1485,7,0,0.0,4,7,3,57.14,5,17,29.41,1,0,11,4,9,19,32.12
990,Hamadi Al Ghaddioui,MAR,FW,Stuttgart,Bundesliga,31,10,498,0.36,0.17,0,0,0.0,2,0,2,109,73,66.97,68,32,9,974,3,0,0.0,5,7,2,71.43,0,4,0.0,2,0,15,7,15,17,46.91
991,Ismaël Gharbi,TUN,FW,Paris S-G,Ligue 1,18,1,2,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
992,Anwar El Ghazi,NED,FW,Everton,Premier League,27,2,13,0.0,0.0,0,0,0.0,0,0,0,9,8,88.89,8,1,0,92,1,0,0.0,1,1,0,100.0,0,1,0.0,0,0,0,0,0,3,0.0
993,Anwar El Ghazi,NED,FWMF,Aston Villa,Premier League,27,9,386,0.23,0.0,1,1,100.0,1,0,1,115,82,71.3,67,23,25,1262,11,4,36.36,3,3,0,100.0,3,12,25.0,2,0,9,7,11,9,55.05
994,Lamine Ghezali,FRA,DF,Saint-Étienne,Ligue 1,22,1,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
995,Paolo Ghiglione,ITA,DF,Genoa,Serie A,25,13,603,0.0,0.0,0,0,0.0,0,0,1,339,215,63.42,140,87,112,4028,22,5,22.73,8,15,7,53.33,5,12,41.67,3,0,12,4,6,14,30.1
996,Saman Ghoddos,IRN,DFMF,Brentford,Premier League,28,17,536,0.17,0.13,0,0,0.0,1,0,1,221,149,67.42,121,42,58,2633,14,2,14.29,8,17,9,47.06,4,5,80.0,2,0,13,12,8,15,34.73
997,Faouzi Ghoulam,ALG,DF,Napoli,Serie A,31,14,332,0.0,0.0,0,0,0.0,0,0,0,282,235,83.33,196,34,52,3889,17,3,17.65,2,2,0,100.0,0,1,0.0,1,0,4,3,5,6,45.45
998,Dimitris Giannoulis,GRE,DF,Norwich City,Premier League,26,18,1169,0.0,0.0,0,0,0.0,0,0,1,705,519,73.62,422,143,139,8685,30,1,3.33,23,40,17,57.5,27,44,61.36,2,0,18,26,10,9,52.74
999,Morgan Gibbs-White,ENG,FWMF,Wolves,Premier League,22,2,9,0.0,0.0,0,0,0.0,0,0,0,10,7,70.0,5,4,1,74,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,2,1,0,2,0.0
1000,Ben Gibson,ENG,DF,Norwich City,Premier League,29,28,2494,0.0,0.0,0,0,0.0,0,0,0,1302,1064,81.72,903,80,321,24894,0,0,0.0,17,21,4,80.95,2,5,40.0,5,1,14,10,67,33,67.04
1001,Niko Gießelmann,GER,DF,Union Berlin,Bundesliga,30,28,2083,0.13,0.11,0,0,0.0,3,0,6,1134,790,69.66,541,249,344,15946,68,13,19.12,10,31,21,32.26,6,20,30.0,3,0,25,34,33,30,52.38
1002,Rafa? Gikiewicz,POL,GK,Augsburg,Bundesliga,34,34,3060,0.0,0.0,0,0,0.0,0,0,0,1241,816,65.75,517,58,663,27326,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,6,0,0,0.0
1003,Óscar Gil,ESP,DF,Espanyol,La Liga,25,22,1688,0.0,0.0,0,0,0.0,0,0,2,741,626,84.48,446,180,114,10451,24,6,25.0,30,55,25,54.55,12,34,35.29,7,0,36,28,7,25,21.76
1004,Mario Gila,ESP,DF,Real Madrid,La Liga,21,2,25,0.0,0.0,0,0,0.0,0,0,0,22,20,90.91,20,0,2,376,0,0,0.0,1,1,0,100.0,1,1,100.0,0,0,0,0,0,0,0.0
1005,Billy Gilmour,SCO,MF,Norwich City,Premier League,20,24,1855,0.0,0.0,0,0,0.0,0,0,1,1201,958,79.77,826,91,282,20592,19,1,5.26,22,48,26,45.83,15,25,60.0,2,0,45,21,12,26,31.52
1006,Daniel Ginczek,GER,MFFW,Wolfsburg,Bundesliga,31,2,13,0.0,0.0,0,0,0.0,0,0,0,4,1,25.0,2,0,2,15,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,100.0
1007,Matthias Ginter,GER,DF,M'Gladbach,Bundesliga,28,28,2355,0.04,0.03,0,0,0.0,1,0,0,1753,1475,84.14,1281,134,338,29978,13,5,38.46,32,45,13,71.11,7,13,53.85,2,0,10,29,90,49,64.78
1008,Nicholas Gioacchini,USA,MFFW,Montpellier,Ligue 1,21,28,497,0.0,0.0,0,0,0.0,0,0,2,144,99,68.75,93,30,21,1390,6,2,33.33,7,12,5,58.33,7,17,41.18,0,0,4,17,20,21,48.79
1009,Sebastian Giovinco,ITA,MF,Sampdoria,Serie A,35,2,39,0.0,0.0,0,0,0.0,0,0,0,10,6,60.0,4,2,4,126,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,2,0,0,1,0.0
1010,Jimmy Giraudon,FRA,DF,Troyes,Ligue 1,30,19,1619,0.0,0.0,0,0,0.0,0,1,0,859,745,86.73,662,69,127,15691,2,1,50.0,7,10,3,70.0,3,3,100.0,5,1,15,6,16,11,59.33
1011,Andrei Girotto,BRA,DFMF,Nantes,Ligue 1,30,36,3146,0.17,0.13,0,0,0.0,6,0,1,1698,1396,82.21,1183,174,339,28791,6,2,33.33,51,101,50,50.5,6,9,66.67,8,0,59,28,109,79,57.91
1012,Olivier Giroud,FRA,FW,Milan,Serie A,35,29,1892,0.52,0.15,2,2,100.0,11,0,3,485,336,69.28,237,155,93,4217,4,1,25.0,11,17,6,64.71,3,6,50.0,4,0,34,25,98,69,58.67
1013,Serge Gnabry,GER,FWDF,Bayern Munich,Bundesliga,26,34,2185,0.58,0.21,0,0,0.0,14,0,5,1354,1069,78.95,1013,177,164,16998,77,15,19.48,34,50,16,68.0,65,101,64.36,0,0,13,24,6,34,15.15
1014,Ben Godfrey,ENG,DF,Everton,Premier League,24,23,2029,0.0,0.0,0,0,0.0,0,0,0,788,605,76.78,488,118,182,11556,14,7,50.0,26,53,27,49.06,6,10,60.0,6,0,17,14,51,36,58.66
1015,Diego Godín,URU,DF,Cagliari,Serie A,36,11,818,0.0,0.0,0,0,0.0,0,0,1,434,393,90.55,328,37,69,9063,3,0,0.0,13,20,7,65.0,9,10,90.0,3,0,14,3,27,11,71.05
1016,Edoardo Goldaniga,ITA,MFDF,Sassuolo,Serie A,28,1,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0
1017,Edoardo Goldaniga,ITA,DF,Cagliari,Serie A,28,11,934,0.0,0.0,0,0,0.0,0,0,0,482,350,72.61,232,69,181,7797,8,2,25.0,12,15,3,80.0,2,4,50.0,3,0,26,16,33,22,59.92
1018,Aleksandr Golovin,RUS,FWMF,Monaco,Ligue 1,25,27,1502,0.18,0.13,0,0,0.0,3,0,4,773,573,74.13,518,83,172,9906,41,7,17.07,18,37,19,48.65,29,40,72.5,4,1,27,23,9,23,28.13
1019,André Gomes,POR,MF,Everton,Premier League,28,14,619,0.0,0.0,0,0,0.0,0,0,1,279,213,76.34,195,28,56,3907,3,0,0.0,9,15,6,60.0,12,15,80.0,3,0,33,8,6,13,31.64
1020,Angel Gomes,ENG,MFFW,Lille,Ligue 1,21,24,954,0.09,0.07,0,0,0.0,1,0,1,393,307,78.12,285,43,65,5658,11,1,9.09,13,19,6,68.42,5,15,33.33,3,0,15,16,2,21,8.76
1021,Toti Gomes,POR,DF,Wolves,Premier League,23,4,360,0.0,0.0,0,0,0.0,0,0,0,191,142,74.35,132,11,48,2595,1,0,0.0,3,7,4,42.86,3,4,75.0,1,0,2,3,15,11,57.69
1022,Dani Gómez,ESP,FW,Levante,La Liga,23,28,1063,0.34,0.13,0,0,0.0,4,0,2,206,165,80.1,158,36,13,2208,8,1,12.5,7,7,0,100.0,18,45,40.0,1,0,19,24,7,46,13.14
1023,Joe Gomez,ENG,DF,Liverpool,Premier League,25,8,331,0.0,0.0,0,0,0.0,0,0,1,286,228,79.72,194,41,51,4481,17,2,11.76,4,7,3,57.14,4,7,57.14,2,0,5,3,13,6,68.42
1024,Maxi Gómez,URU,FW,Valencia,La Liga,25,29,1956,0.23,0.12,0,0,0.0,5,0,1,414,265,64.01,183,123,109,4216,18,3,16.67,6,10,4,60.0,6,19,31.58,7,1,55,66,88,87,50.31
1025,Moi Gómez,ESP,MFFW,Villarreal,La Liga,27,29,1286,0.14,0.15,0,0,0.0,2,0,2,595,482,81.01,453,65,77,8777,19,8,42.11,10,17,7,58.82,12,24,50.0,2,0,25,17,11,17,39.29
1026,Papu Gómez,ARG,MFFW,Sevilla,La Liga,34,29,1784,0.25,0.15,0,0,0.0,5,0,1,974,840,86.24,711,99,165,15400,38,11,28.95,17,21,4,80.95,30,53,56.6,4,0,26,51,12,27,30.96
1027,Sergi Gómez,ESP,DF,Espanyol,La Liga,30,31,2720,0.03,0.14,0,0,0.0,1,0,2,1326,1148,86.58,1039,77,211,24948,1,0,0.0,15,32,17,46.88,1,1,100.0,1,1,15,4,47,52,47.56
1028,Alfred Gomis,SEN,GK,Rennes,Ligue 1,28,25,2250,0.0,0.0,0,0,0.0,0,0,0,780,595,76.28,410,29,342,18168,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,1,4,0,0,0.0
1029,Maxime Gonalons,FRA,MF,Granada,La Liga,33,24,1460,0.0,0.0,0,0,0.0,0,0,2,648,544,83.95,449,91,108,10977,4,0,0.0,33,51,18,64.71,9,15,60.0,6,0,35,36,38,18,67.92
1030,Vagner Gonçalves,CPV,MFFW,Metz,Ligue 1,26,3,86,0.0,0.0,0,0,0.0,0,0,0,38,25,65.79,22,7,9,373,2,0,0.0,0,2,2,0.0,1,2,50.0,1,0,4,2,1,2,33.33
1031,Cedric Gondo,CIV,FW,Salernitana,Serie A,25,14,699,0.13,0.05,0,0,0.0,1,0,0,174,130,74.71,115,31,28,1901,9,2,22.22,2,4,2,50.0,9,19,47.37,1,0,18,35,23,40,36.51
1032,Álvaro González,ESP,DF,Marseille,Ligue 1,32,6,451,0.0,0.0,0,0,0.0,0,0,0,372,357,95.97,336,15,21,7692,0,0,0.0,0,1,1,0.0,0,0,0.0,1,0,7,7,3,12,20.0
1033,Diego González,ESP,DF,Elche,La Liga,27,28,1793,0.0,0.0,0,0,0.0,0,0,0,704,591,83.95,511,49,144,13403,0,0,0.0,15,34,19,44.12,3,4,75.0,3,1,29,3,34,34,50.0
1034,Édgar González,ESP,DF,Betis,La Liga,25,21,1464,0.06,0.2,0,0,0.0,1,0,1,883,797,90.26,724,57,102,16445,0,0,0.0,16,23,7,69.57,6,6,100.0,6,0,23,10,38,34,52.71
1035,Giovanni González,URU,DF,Mallorca,La Liga,27,9,365,0.24,0.33,0,0,0.0,1,0,0,204,152,74.51,113,40,51,2612,8,1,12.5,9,11,2,81.82,3,5,60.0,1,0,3,5,10,12,45.44
1036,Nicolás González,ESP,MF,Barcelona,La Liga,20,27,1114,0.16,0.12,0,0,0.0,2,0,1,687,620,90.25,595,53,39,9973,3,0,0.0,26,35,9,74.29,27,36,75.0,6,0,41,29,8,12,40.12
1037,Nicolás González,ARG,FW,Fiorentina,Serie A,24,33,2357,0.27,0.06,3,3,100.0,7,0,6,941,705,74.92,584,177,178,13870,55,12,21.82,20,28,8,71.43,63,123,51.22,4,1,34,113,82,66,55.4
1038,Peter González,DOM,MFDF,Real Madrid,La Liga,19,3,27,0.0,0.0,0,0,0.0,0,0,0,19,16,84.21,12,3,4,249,1,0,0.0,1,1,0,100.0,2,3,66.67,0,0,0,2,0,1,0.0
1039,Roberto González,ESP,FWMF,Betis,La Liga,21,4,135,0.0,0.0,0,0,0.0,0,0,0,39,30,76.92,32,3,4,410,2,0,0.0,2,4,2,50.0,3,6,50.0,0,0,2,4,1,1,50.0
1040,Charlie Goode,ENG,DF,Brentford,Premier League,26,6,450,0.0,0.0,0,0,0.0,0,0,0,300,190,63.33,134,29,137,4717,14,1,7.14,5,8,3,62.5,5,7,71.43,3,0,7,8,19,9,67.86
1041,Anthony Gordon,ENG,MFFW,Everton,Premier League,21,35,2285,0.16,0.09,0,0,0.0,4,0,2,754,503,66.71,493,98,164,8075,71,10,14.08,36,62,26,58.06,44,86,51.16,4,0,30,69,18,47,27.73
1042,Kaide Gordon,ENG,FW,Liverpool,Premier League,17,1,9,0.0,0.0,0,0,0.0,0,0,0,4,4,100.0,4,0,0,50,0,0,0.0,0,1,1,0.0,0,1,0.0,0,0,1,0,0,1,0.0
1043,Leon Goretzka,GER,MF,Bayern Munich,Bundesliga,27,19,1396,0.19,0.07,0,0,0.0,3,0,3,891,742,83.28,656,117,119,13062,4,2,50.0,19,26,7,73.08,9,16,56.25,0,0,14,12,34,24,58.56
1044,Gori,ESP,MF,Espanyol,La Liga,20,1,9,0.0,0.0,0,0,0.0,0,0,0,5,4,80.0,4,0,1,77,0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0.0
1045,Andoni Gorosabel,ESP,DF,Real Sociedad,La Liga,25,32,2289,0.0,0.0,0,0,0.0,0,0,4,1463,1222,83.53,932,305,227,19731,45,7,15.56,29,49,20,59.18,19,32,59.38,4,0,28,24,36,37,49.31
1046,Robin Gosens,GER,DF,Atalanta,Serie A,27,6,460,0.2,0.07,0,0,0.0,1,0,0,260,214,82.31,151,80,29,3691,2,1,50.0,3,6,3,50.0,1,3,33.33,2,0,3,7,9,5,64.23
